publication_id,title,authors,year,journal,doi,pmid,pmcid,enrichment_status,publisher_url,pdf_url,notes
84,Hypertension in Pregnancy among HIV-Infected Women in Sub-Saharan Africa: Prevalence and Infant Outcomes,"Kilewo C, Natchu UCM, Young A, Donnell D, Brown E, Read JS, Sharma U, Chi BH, Goldenberg R, Hoffman I, Taha TE, Fawzi WW",2009,African Journal of Reproductive Health,,,,not_found,,,Not found in Crossref / PubMed
85,Fertility intentions of HIV-1 infected and uninfected women in Malawi: a longitudinal study,"Taulo F, Berry M, Tsui A, Makanani B, Kafulafula G, Li Q, Nkhoma C, Kumwenda JJ, Kumwenda N, Taha TE",2009,AIDS Behavior,10.1007/s10461-009-9547-9,19308718,,full,https://doi.org/10.1007/s10461-009-9547-9,,Manual retrieval required - no open-access source found
87,Intrapartum Antibiotic Exposure and Early Neonatal Morbidity and Mortality in Africa,"Kafulafula G, Mwatha A, Chen YQ, Aboud S, Martinson F, Hoffman I, Fawzi W, Read JS, Valentine M, Kasonde M, Goldenberg R, Taha TE",2009,Pediatrics,10.1542/peds.2008-1873,19564260,PMC2764263,full,https://doi.org/10.1542/peds.2008-1873,https://www.ncbi.nlm.nih.gov/pmc/articles/2764263,PMC available: PMC2764263; PDF URL available
90,Antiretroviral Prophylaxis to Reduce Breast-Milk HIV-1 Transmission,"Taha TE, Kumwenda NI, Kafulafula G",2008,New England Journal of Medicine,10.1056/nejmoa0801941,18525035,,full,https://doi.org/10.1056/nejmoa0801941,https://www.nejm.org/doi/pdf/10.1056/NEJMoa0801941?articleTools=true,PDF URL available
93,Comparison of LigAmp and an ASPCR Assay for Detection and Quantification of K103-Containing HIV Variants,"Church JD, Towler WI, Hoover DR, Hudelson SE, Jones DC, Kumwenda N, Taha TE, Eshleman JR, Eshleman SH",2008,AIDS Research and Human Retroviruses,10.1089/aid.2007.0224,18370589,,full,https://doi.org/10.1089/aid.2007.0224,,Manual retrieval required - no open-access source found
94,"Morbidity and Mortality among a Cohort of Human Immunodeficiency Virus Type 1-infected and Uninfected Pregnant Women and Their Infants from Malawi, Zambia and Tanzania","Chilongozi D, Wang L, Brown L, Taha TE, Valentine M, Emel L, Sinkala M, Kafulafula G, Noor RA, Read JS, Brown ER, Goldenberg RL, Hoffman I",2008,"Accepted, Pediatric Infectious Disease Journal",10.1097/inf.0b013e31817109a4,18679152,PMC2739309,full,https://doi.org/10.1097/inf.0b013e31817109a4,https://www.ncbi.nlm.nih.gov/pmc/articles/2739309,PMC available: PMC2739309; PDF URL available
95,"The Role of Men in Women's Acceptance of an Intravaginal Gel in a Randomized Clinical Trial in Blantyre, Malawi: a Qualitative and Quantitative Analysis","Salter ML, Go VF, Celantano DD, Diener-West M, Nkhoma CM, Kumwenda N, Taha TE",2008,AIDS Care,10.1080/09540120701742300,18608053,,full,https://doi.org/10.1080/09540120701742300,,Manual retrieval required - no open-access source found
96,Extended Antiretroviral Prophylaxis to Reduce Breast-Milk HIV-1 Transmission,"Kumwenda NI, Hoover DR, Mofenson LM, Thigpen MC, Kafulafula G, Li Q, Mipando L, Nkanaunena K, Mebrahtu T, Butlerys M, Fowler MG, Taha TE",2008,New England Journal of Medicine,10.1056/nejmoa0801941,18525035,,full,https://doi.org/10.1056/nejmoa0801941,https://www.nejm.org/doi/pdf/10.1056/NEJMoa0801941?articleTools=true,PDF URL available
97,HIV-1 Incidence among Women of Reproductive Age in Malawi,"Kumwenda NI, Kumwenda J, Kafulafula G, Makanani B, Taulo F, Nkhoma C, Qi L, Taha TE",2008,International Journal of STD & AIDS,10.1258/ijsa.2007.007165,18482966,,full,https://doi.org/10.1258/ijsa.2007.007165,,Manual retrieval required - no open-access source found
99,Natural History and Risk Factors Associated with Early and Established HIV-1 Infection among Reproductive Age Women in Malawi,"Kumwenda JJ, Makanani B, Taulo F, Nkhoma C, Kafulafula G, Li Q, Kumwenda N, Taha TE",2008,Clinical Infectious Diseases,10.1086/588478,18462100,,full,https://doi.org/10.1086/588478,https://academic.oup.com/cid/article-pdf/46/12/1913/849421/46-12-1913.pdf,PDF URL available
100,The role of transplacental microtransfusions maternal lymphocytes in HIV transmission to newborns,"Biggar RJ, Lee TH, Wen L, Broadhead N, Taha TE, Busch MP",2008,AIDS,10.1097/qad.0b013e328314e36b,18981764,PMC3509793,full,https://doi.org/10.1097/qad.0b013e328314e36b,https://www.ncbi.nlm.nih.gov/pmc/articles/3509793,PMC available: PMC3509793; PDF URL available
102,HIV Seroreversion Time in HIV-1. Uninfected Children Born to HIV-1 Infected Mothers in Malawi,"Gulia J, Kumwenda N, Li Q, Taha TE",2007,Journal of Acquired Immune Deficiency Syndrome,10.1097/qai.0b013e3181576860,17786126,,full,https://doi.org/10.1097/qai.0b013e3181576860,,Manual retrieval required - no open-access source found
103,"HIV-1 type 1 Variants with Nevirapine Resistance Mutations are Rarely Detected in Antiretroviral Drug Naïve African Women with Subtypes A, C and D","Church JD, Hudelson SE, Guay LA, Chen S, Hoover DR, Parkin N, Fiscus SA, Mmiro F, Musoke P, Kumwenda N, Jackson JB, Taha TE, Eshelman SH",2007,AIDS Res Human Retroviruses,10.1089/aid.2006.0272,17604538,,full,https://doi.org/10.1089/aid.2006.0272,,Manual retrieval required - no open-access source found
104,Human Papillomavirus Seroprevalence among Young Male and Female Drug Users,"Plitt SS, Sherman SG, Viscidi RP, Strathdee SA, Fuller CM, Taha T",2007,Sexually Transmitted Diseases,10.1097/01.olq.0000258309.42765.ac,17847165,,full,https://doi.org/10.1097/01.olq.0000258309.42765.ac,,Manual retrieval required - no open-access source found
105,Late Postnantal Transmission of HIV-1 and Associated Factors,"Taha TE, Hoover DR, Kumwenda NI, Fiscus SA, Kafulafula G, Nkhoma C, Chen S, Piwower E, Broadhead RL, Brooks Jackson J, Miotti PG",2007,Journal of Infectious Disease,10.1086/518511,17538877,,full,https://doi.org/10.1086/518511,https://academic.oup.com/jid/article-pdf/196/1/10/18014248/196-1-10.pdf,PDF URL available
106,Predictors of Stillbirth in Sub-Saharan Africa,"Chi BH, Wang L, Read JS, Sheriff M, Taha TE, Sinkala M, Brown ER, Valentine M, Martinson F, Goldenberg RL",2007,American Journal of Obstetrics and Gynecology,10.1097/01.aog.0000281667.35113.a5,17978109,,full,https://doi.org/10.1097/01.aog.0000281667.35113.a5,,Manual retrieval required - no open-access source found
107,Micronutrient supplements and mortality if HIV-infected adults with pulmonary TB: a controlled clinical trial,"Semba RD, Kumwenda J, Zijlstra E, Ricks MO, van Lettow M, Whalen C, Clark TD, Jorgenson L, Kohler J, Kumwenda N, Taha TE, Harris AD",2007,Int J Tuberc Lung Dis,,,,not_found,,,Not found in Crossref / PubMed
108,Fetal fibronectin and adverse infant outcomes in a predominantly human immunodeficiency virus-infected African population: a randomized controlled trial,"Goldenberg RL, Andrews WW, Hoffman I, Fawzi W, Valentine M, Young A, Read JS, Brown ER, Mudenda V, Kafulafula G, Mwinga K, Taha TE",2007,Obstetrics and Gynecology,10.1097/01.aog.0000247628.68415.00,17267841,,full,https://doi.org/10.1097/01.aog.0000247628.68415.00,,Manual retrieval required - no open-access source found
110,"Comparison of HIV-1 mother-to-child transmission after single dose nevirapine prophylaxis among African women with subtypes A, C, and D","Eshleman SH, Church JD, Chen S, Guay LA, Mwatha A, Fiscus SA, Mmiro F, Musoke P, Kumwenda N, Jackson JB, Taha TE, Hoover DR",2006,JAIDS,10.1097/01.qai.0000221676.22069.b8,16810119,,partial,https://doi.org/10.1097/01.qai.0000221676.22069.b8,,Manual retrieval required - no open-access source found
111,Association of HIV-1 replication capacity (RC) with HIV-1 mother-to-child transmission among antiretroviral drug naïve Malawian women,"Eshleman SH, Lie Y, Hoover Dr, Chen S, Hudelson SE, Fiscus SA, Petropoulos CJ, Kumwenda N, Parkin N, Taha TE",2006,Journal of Infectious Diseases,10.1086/503810,16652278,,full,https://doi.org/10.1086/503810,https://academic.oup.com/jid/article-pdf/193/11/1512/2632743/193-11-1512.pdf,PDF URL available
112,"Quantitative analysis of HIV-1 variants with the K103N resistance mutation after single dose nevirapine in women with HIV-1 subtypes A, C and D","Flys TS, Jones DC, Chen S, Hoover DR, Church JD, Fiscus SA, Mwatha A, Guay LA, Mmiro F, Musoke P, Kumwenda N, Taha TE, Jackson JB, Eshleman SH",2006,JAIDS,10.1097/01.qai.0000221686.67810.20,16773030,,full,https://doi.org/10.1097/01.qai.0000221686.67810.20,,Manual retrieval required - no open-access source found
114,Effect of antibiotic treatment of subclinical mastitis in Human Immunodeficiency Virus Type 1 RNA in human milk,"Nussenblatt V, Kumwenda N, Lema V, Quinn T, Neville MC, Broadhead R, Taha TE, Semba RD",2006,J Trop Pediatr,10.1093/tropej/fml011,16595526,,full,https://doi.org/10.1093/tropej/fml011,https://academic.oup.com/tropej/article-pdf/52/5/311/4705238/fml011.pdf,PDF URL available
115,HIV incidence among women of reproductive age in Malawi and Zimbabwe (HIVNET/ HPTN 016),"Kumwenda N, Hoffman I, Chirenje M, Kelly C, Coletti A, Ristow A, Martinson F, Brown J, Chilongozi D, Richardson B, Rosenberg Z, Padian N, Taha T",2006,Sexually Transmitted Diseases,10.1097/01.olq.0000223283.27142.9f,16773032,,full,https://doi.org/10.1097/01.olq.0000223283.27142.9f,,Manual retrieval required - no open-access source found
117,A phase III clinical trial of antibiotics to reduce chorioamniontis-related perinatal HIV-1 transmission,"Taha TE, Brown ER, Hoffman I, Fawzi W, Read JS, Sinkala M, Martinson F, Kafulafula G, Masamanga G, Valentine M, Emel L, Mwatha A, Adeniyi-Jones S, Goldenberg R",2006,AIDS,10.1097/01.aids.0000232240.05545.08,16816561,,full,https://doi.org/10.1097/01.aids.0000232240.05545.08,,Manual retrieval required - no open-access source found
118,Higher HIV infection risk in girls than boys infected in utero or perinatally,"Biggar RJ, Taha TE, Hoover D, Kumwenda N, Broadhead R",2006,Journal of Acquired Immune Deficiency Syndromes,10.1097/01.qai.0000191283.85578.46,16652061,,full,https://doi.org/10.1097/01.qai.0000191283.85578.46,,Manual retrieval required - no open-access source found
119,"HPTN 024 study: Histologic chorioamnionitis, antibiotics and adverse infant outcomes in a predominantly HIV-1-infected African population","Goldenberg RL, Mudenda V, Read JS, Brown ER, Sinkala M, Kamiza S, Martinson F, Kaaya E, Hoffman I, Fawzi W, Valentine M, Taha TE and the HPTN 024 Study Team",2006,American Journal of Obstetrics and Gynecology,10.1016/j.ajog.2006.05.046,16875654,,full,https://doi.org/10.1016/j.ajog.2006.05.046,,Manual retrieval required - no open-access source found
120,The HPTN 024 study: the efficacy of antibiotics to prevent chorioamnionitis and preterm birth,"Goldenberg RL, Mwatha A, Read JS, Adeniyi-Jones S, Sinkala M, Masamanga G, Martinson F, Hoffman I, Fawzi W, Valentine M, Emel L, Brown E, Mudenda V, Taha TE and the HPTN 024 Team",2006,American Journal of Obstetrics and Gynecology,10.1016/j.ajog.2006.01.004,16522393,,full,https://doi.org/10.1016/j.ajog.2006.01.004,,Manual retrieval required - no open-access source found
121,Development of nevirapine resistence is reduced by using infant-only nevirapine plus zidovudine post-exposure prophylaxis to prevent HIV-1 mother-to-child transmission,"Eshleman SH, Hoover DR, Hudelson SE, Chen S, Fiscus SA, Piwowar-Manning E, Jackson JB, Kumwenda NI, Taha TE",2006,Journal of Infectious Diseases,,,,not_found,,,Not found in Crossref / PubMed
122,"Status of carotenoid, vitamin A and vitamin E status in the mother-infant dyad and infant growth in Malawi","Dancheck B, Nussenblatt V, Kumwenda N, Lema V, Neville MC, Broadhead R, Taha TE, Ricks MO, Semba RD",2005,"Journal of Health, Population and Nutrition",,,,not_found,,,Not found in Crossref / PubMed
123,Resistance after single dose nevirapine prophylaxis emerges in a high portion of Malawian newborns,"Eshleman SH, Hoover DR, Chen S, Hudelson SE, Guay LA, Mwatha A, Fiscus SA, Mmiro F, Musoke P, Jackson JB, Kumwenda N, Taha T",2005,AIDS,10.1097/01.aids.0000194800.43799.94,16284468,,full,https://doi.org/10.1097/01.aids.0000194800.43799.94,,Manual retrieval required - no open-access source found
124,Viral dynamics and CD4+ T cell counts in subtype C human immunodeficiency virus type 1-infected individuals from southern Africa,"Gray CM, Williamson C, Bredell H, Puren A, Xia X, Filter R, Zijenah L, Cao H, Morris L, Vardas E, Colvin M, Gray G, McIntyre J, Musonda R, Allen S, Katzenstein D, Mbizo M, Kumwenda N, Taha T, Karim SA, Flores J, Sheppard HW",2005,AIDS Res Hum Retroviruses,10.1089/aid.2005.21.285,15943570,,full,https://doi.org/10.1089/aid.2005.21.285,,Manual retrieval required - no open-access source found
125,"Affordable, abbreviated Roche monitor HIV-1RNA viral load assay","Fiscus SA, Chen S, Hoover D, Kerkau MG, Alabanza P, Siharath S, Schmitz J, Kumwenda N, Taha TE",2005,Journal of Clinical Microbiology,,,,not_found,,,Not found in Crossref / PubMed
126,Timing of maternal and neonatal dosing of nevirapine and the risk of mother-to-child transmission of HIV-1: HIVNET 024,"Chi BH, Wang L, Read JS, Sheriff M, Fiscus S, Brown ER, Taha TE, Valentine M, Goldenberg R",2005,AIDS,10.1097/01.aids.0000189863.82429.2f,16227794,,full,https://doi.org/10.1097/01.aids.0000189863.82429.2f,,Manual retrieval required - no open-access source found
127,"Prevalence and correlates of Chlamydia trachomatis, Neisseria gonorrhoeae, Trichomonas vaginalis infections, and bacterial vaginosis among a Cohort of young Injection Drug Users in Baltimore, Maryland","Plitt SS, Garfein RS, Gaydos CA, Strathdee S, Sherman SG, Taha TE",2005,Sexually Transmitted Diseases,10.1097/01.olq.0000154567.21291.59,15976603,,full,https://doi.org/10.1097/01.olq.0000154567.21291.59,,Manual retrieval required - no open-access source found
128,Nevirapine (NVP) resistance in women with subtype C compared to subtypes A and D after single dose NVP,"Eshleman SH, Hoover DR, Chen S, Hudelson SE, Guay LA, Mwatha A, Mmiro F, Musoke P, Jackson JB, Kumwenda N, Taha T",2005,Journal of Infectious Diseases,10.1086/430764,15942891,,full,https://doi.org/10.1086/430764,,Manual retrieval required - no open-access source found
129,"Safety, acceptability and potential efficacy of a topical penile microbicide wipe","Taha TE, Kumwenda N, Mwakomba A, Mwenda R, Kawonga H, Nyasulo P, Soko D, Chen S, Hoover D, Kafulafula G",2005,Journal of Acquired Immune Deficiency Syndromes,10.1097/01.qai.0000148080.61202.70,15980697,,full,https://doi.org/10.1097/01.qai.0000148080.61202.70,,Manual retrieval required - no open-access source found
130,Epidemiology and microbiology of subclinical mastitis among human immunodeficiency virus-infected women in Malawi,"Nussenblatt V, Lema V, Kumwenda N, Broadhead R, Neville MC, Taha TE, Semba RD",2005,International Journal of STD & AIDS,10.1258/0956462053420248,15829023,,full,https://doi.org/10.1258/0956462053420248,,Manual retrieval required - no open-access source found
132,Systemic inflammation is associated with lower plasma nut not lower breast milk retinol concentration among breastfeeding women in Malawi,"Dancheck B, Nussenblatt V, Ricks MO, Kumwenda N, Neville MC, Moncreif DT, Taha TE, Semba RD",2005,Journal of Nutrition,10.1093/jn/135.2.223,15671217,,full,https://doi.org/10.1093/jn/135.2.223,,Manual retrieval required - no open-access source found
